plm_m_oid,plm_oid,plm_m_id,plm_i_name,plm_i_createtime,plm_i_checkintime,plm_cailiao,plm_checkintime,plm_weight,plm_wllx,plm_wlly,plm_guige,plm_gylx
25,25,25,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",10.426696811882575,企标件,自制,NULL,NULL
26,26,26,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",41.91684415550068,机加件,外购,NULL,NULL
27,27,27,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",58.790294800134866,专用零件,外购,NULL,NULL
28,28,28,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",38.152728267821665,专用零件,自制,NULL,NULL
29,29,29,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",42.315215505975715,非标外购件,外购,NULL,NULL
30,30,30,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",18.652960939064457,国标件,自制,NULL,NULL
31,31,31,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",11.311771081821764,企标件,外协,NULL,NULL
32,32,32,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",18.205470559264036,产品配套,外购,NULL,NULL
33,33,33,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",87.60300450539353,专用零件,自制,NULL,NULL
34,34,34,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",97.75667215121385,专用部件,自制,NULL,NULL
35,35,35,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",34.919264898329594,专用零件,自制,NULL,NULL
36,36,36,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",3.3506141969348424,非标外购件,自制,NULL,NULL
37,37,37,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",68.6180529361457,国标件,外协,NULL,NULL
38,38,38,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",70.46417567952344,产品配套,外购,NULL,NULL
39,39,39,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",13.893015285149312,国标件,自制,NULL,NULL
40,40,40,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",9.937338241428606,企标件,自制,NULL,NULL
41,41,41,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",35.089354881013534,专用部件,自制,NULL,NULL
42,42,42,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",79.35337011152971,非标外购件,外购,NULL,NULL
43,43,43,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",63.86404485418946,专用部件,自制,NULL,NULL
44,44,44,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",72.92499129323386,企标件,外协,NULL,NULL
45,45,45,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",93.44167187301589,国标件,自制,NULL,NULL
46,46,46,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",89.1513833567976,国标件,外购,NULL,NULL
47,47,47,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",18.341108217713618,非标外购件,自制,NULL,NULL
48,48,48,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",1.7283586662645622,产品配套,自制,NULL,NULL
49,49,49,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",96.96652439026704,产品配套,自制,NULL,NULL
50,50,50,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",76.21817339464894,产品配套,自制,NULL,NULL
51,51,51,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",62.365530133326374,国标件,外购,NULL,NULL
52,52,52,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",36.427104975906346,企标件,自制,NULL,NULL
53,53,53,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",64.35334452094799,企标件,自制,NULL,NULL
54,54,54,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",0.5208219079663845,产品配套,外购,NULL,NULL
55,55,55,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",55.173129324288475,机加件,外协,NULL,NULL
56,56,56,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",85.01323845750454,专用零件,自制,NULL,NULL
57,57,57,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",82.09086125698526,专用零件,自制,NULL,NULL
58,58,58,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",63.70558828927928,专用部件,外购,NULL,NULL
59,59,59,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",26.883995480229473,产品配套,外购,NULL,NULL
60,60,60,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",16.071504223455968,专用部件,外购,NULL,NULL
61,61,61,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",5.009328345287123,产品配套,外协,NULL,NULL
62,62,62,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",21.039297608598485,机加件,自制,NULL,NULL
63,63,63,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",66.09722583039431,国标件,自制,NULL,NULL
64,64,64,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",33.61486776172276,专用零件,自制,NULL,NULL
65,65,65,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",60.562618907875844,机加件,自制,NULL,NULL
66,66,66,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",52.88652011240684,机加件,外协,NULL,NULL
67,67,67,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",16.597423276044164,产品配套,外购,NULL,NULL
68,68,68,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",52.61087089069083,专用部件,外协,NULL,NULL
69,69,69,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",72.4231951320942,机加件,自制,NULL,NULL
70,70,70,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",38.0862910049555,非标外购件,自制,NULL,NULL
71,71,71,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",27.888025286838914,国标件,自制,NULL,NULL
72,72,72,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",52.44497505381784,企标件,外购,NULL,NULL
73,73,73,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",23.179466292718764,非标外购件,外协,NULL,NULL
74,74,74,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",53.213299447013696,国标件,外协,NULL,NULL
75,75,75,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",4.277850614716094,专用零件,外协,NULL,NULL
76,76,76,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",43.99121668236832,企标件,外协,NULL,NULL
77,77,77,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",91.86591428863916,专用零件,外协,NULL,NULL
78,78,78,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",68.58894266889037,企标件,外购,NULL,NULL
79,79,79,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",86.07894752262476,产品配套,外购,NULL,NULL
80,80,80,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",45.52985656032404,专用部件,自制,NULL,NULL
81,81,81,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",90.85463990838166,专用零件,自制,NULL,NULL
82,82,82,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",45.3502456883218,非标外购件,外协,NULL,NULL
83,83,83,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",20.48161887574429,产品配套,自制,NULL,NULL
84,84,84,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",72.22050119855122,国标件,外协,NULL,NULL
85,85,85,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",53.06047077490085,专用部件,外购,NULL,NULL
86,86,86,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",74.58109758822211,专用部件,外协,NULL,NULL
87,87,87,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",27.270731471267005,企标件,自制,NULL,NULL
88,88,88,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",49.47222195998485,机加件,自制,NULL,NULL
89,89,89,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",24.820615958392032,机加件,自制,NULL,NULL
90,90,90,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",70.28516961957527,专用部件,外协,NULL,NULL
91,91,91,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",31.57814935355536,专用部件,外购,NULL,NULL
92,92,92,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",52.28778423275372,专用零件,外协,NULL,NULL
93,93,93,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",75.49514031758727,非标外购件,外协,NULL,NULL
94,94,94,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",77.99134888022678,非标外购件,外协,NULL,NULL
95,95,95,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",88.87138960614706,机加件,外协,NULL,NULL
96,96,96,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",71.21424148554344,机加件,外协,NULL,NULL
97,97,97,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",11.131188147296111,国标件,外购,NULL,NULL
98,98,98,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",34.86369387040025,产品配套,自制,NULL,NULL
99,99,99,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",33.416902970463504,专用零件,自制,NULL,NULL
100,100,100,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",18.64607364242088,专用部件,外购,NULL,NULL
101,101,101,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",28.74516465506639,机加件,外协,NULL,NULL
102,102,102,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",11.194747936989845,企标件,自制,NULL,NULL
103,103,103,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",9.709031307769378,产品配套,外购,NULL,NULL
104,104,104,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",18.288770410166865,产品配套,外购,NULL,NULL
105,105,105,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",46.05270831729619,国标件,外协,NULL,NULL
106,106,106,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",24.84795364574032,专用零件,外协,NULL,NULL
107,107,107,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",64.04769411262181,企标件,自制,NULL,NULL
108,108,108,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",79.85992380559254,产品配套,外协,NULL,NULL
109,109,109,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",94.68434368270951,专用部件,外购,NULL,NULL
110,110,110,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",39.57679856749462,企标件,外协,NULL,NULL
111,111,111,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",62.641066110560686,专用部件,自制,NULL,NULL
112,112,112,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",9.584999107326098,专用部件,外购,NULL,NULL
113,113,113,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",20.879939024745266,产品配套,外协,NULL,NULL
114,114,114,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",22.517483526207403,产品配套,自制,NULL,NULL
115,115,115,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",8.502974661084073,专用零件,外购,NULL,NULL
116,116,116,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",47.93864408621704,非标外购件,自制,NULL,NULL
117,117,117,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",55.063364170017095,专用部件,外购,NULL,NULL
118,118,118,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",56.39454677237495,产品配套,外协,NULL,NULL
119,119,119,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",98.47741124761347,企标件,外购,NULL,NULL
120,120,120,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",18.966305241751947,产品配套,外协,NULL,NULL
121,121,121,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",52.14927569350366,国标件,外协,NULL,NULL
122,122,122,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",69.8241417233449,企标件,外协,NULL,NULL
123,123,123,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",60.185014485637126,产品配套,外协,NULL,NULL
124,124,124,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",81.92603847457933,国标件,外购,NULL,NULL
125,125,125,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",31.0149388073556,专用零件,外购,NULL,NULL
126,126,126,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",81.87446093966388,专用部件,外购,NULL,NULL
127,127,127,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",95.69628919898622,产品配套,外购,NULL,NULL
128,128,128,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",32.06975834009674,机加件,外协,NULL,NULL
129,129,129,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",66.22643255181902,专用零件,自制,NULL,NULL
130,130,130,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",25.93808384086268,非标外购件,外协,NULL,NULL
131,131,131,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",22.129966586465965,机加件,外购,NULL,NULL
132,132,132,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",58.782198303410915,国标件,外购,NULL,NULL
133,133,133,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",30.357062963046534,产品配套,外购,NULL,NULL
134,134,134,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",86.22202752005647,企标件,外购,NULL,NULL
135,135,135,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",97.9369714271676,专用部件,外协,NULL,NULL
136,136,136,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",72.54248112237565,产品配套,自制,NULL,NULL
137,137,137,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",84.38350686264405,企标件,自制,NULL,NULL
138,138,138,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",31.70967127309361,专用零件,自制,NULL,NULL
139,139,139,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",5.509244400742219,非标外购件,外协,NULL,NULL
140,140,140,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",90.98559752982176,国标件,自制,NULL,NULL
141,141,141,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",84.71787498079314,专用部件,外购,NULL,NULL
142,142,142,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",64.17168869564166,国标件,外协,NULL,NULL
143,143,143,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",49.94302756135623,机加件,外购,NULL,NULL
144,144,144,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",69.13954576632689,产品配套,外购,NULL,NULL
145,145,145,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",62.24877190098643,非标外购件,外购,NULL,NULL
146,146,146,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",67.47889733151962,专用部件,外购,NULL,NULL
147,147,147,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",43.89387947953743,专用部件,外协,NULL,NULL
148,148,148,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",12.302589626872829,专用部件,自制,NULL,NULL
149,149,149,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",5.515611246840512,专用零件,外购,NULL,NULL
150,150,150,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",0.3899212555124376,企标件,自制,NULL,NULL
151,151,151,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",22.928810149184276,企标件,外购,NULL,NULL
152,152,152,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",95.13984036501637,专用部件,外购,NULL,NULL
153,153,153,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",15.176905299341016,机加件,外购,NULL,NULL
154,154,154,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",8.996732927683738,专用零件,外购,NULL,NULL
155,155,155,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",14.421200971259939,机加件,自制,NULL,NULL
156,156,156,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",62.33136873030746,专用部件,外购,NULL,NULL
157,157,157,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",8.76509902064816,机加件,外购,NULL,NULL
158,158,158,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",28.37178868355871,专用部件,自制,NULL,NULL
159,159,159,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",83.91037266701822,非标外购件,自制,NULL,NULL
160,160,160,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",10.973100979995387,企标件,自制,NULL,NULL
161,161,161,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",23.68148863753404,机加件,外购,NULL,NULL
162,162,162,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",90.12227001304521,专用部件,外购,NULL,NULL
163,163,163,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",10.09608979230615,机加件,自制,NULL,NULL
164,164,164,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",36.56178768410497,企标件,外协,NULL,NULL
165,165,165,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",79.37077469516751,产品配套,外协,NULL,NULL
166,166,166,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",91.27227568360217,非标外购件,外购,NULL,NULL
167,167,167,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",76.52955583325493,机加件,自制,NULL,NULL
168,168,168,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",60.81947748047782,专用部件,自制,NULL,NULL
169,169,169,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",39.34216213283028,企标件,外购,NULL,NULL
170,170,170,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",96.17024349161426,专用部件,外协,NULL,NULL
171,171,171,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",28.004037568386053,国标件,外协,NULL,NULL
172,172,172,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",61.321705350504864,产品配套,外购,NULL,NULL
173,173,173,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",40.64063147887722,国标件,外购,NULL,NULL
174,174,174,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",24.41387762880899,国标件,自制,NULL,NULL
175,175,175,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",36.55727447398694,机加件,自制,NULL,NULL
176,176,176,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",31.402822827197554,非标外购件,自制,NULL,NULL
177,177,177,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",34.095129775218865,专用部件,自制,NULL,NULL
178,178,178,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",73.19123609273493,机加件,外购,NULL,NULL
179,179,179,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",54.876282226439734,非标外购件,自制,NULL,NULL
180,180,180,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",53.87324653121568,专用部件,自制,NULL,NULL
181,181,181,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",9.028188401546288,机加件,外协,NULL,NULL
182,182,182,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",86.3874946594154,专用部件,外购,NULL,NULL
183,183,183,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",5.8056579391652985,国标件,外购,NULL,NULL
184,184,184,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",26.01213697943866,产品配套,自制,NULL,NULL
