plm_oid,plm_leftobj,plm_rightobj,plm_createtime,plm_order,plm_jianhao,plm_number
77,805,64,"2018-09-15 21:21:09",9,38,42
78,808,65,"2018-09-15 21:21:09",30,50,43
79,810,66,"2018-09-15 21:21:09",29,46,5
80,811,67,"2018-09-15 21:21:09",9,1,15
81,812,68,"2018-09-15 21:21:09",45,42,6
82,809,69,"2018-09-15 21:21:09",43,2,43
83,806,69,"2018-09-15 21:21:09",20,23,32
84,813,70,"2018-09-15 21:21:09",10,48,9
85,814,71,"2018-09-15 21:21:09",0,17,26
86,815,72,"2018-09-15 21:21:09",5,49,46
87,820,73,"2018-09-15 21:21:09",49,14,43
88,821,74,"2018-09-15 21:21:09",36,7,3
89,816,75,"2018-09-15 21:21:09",34,0,49
90,818,75,"2018-09-15 21:21:09",48,9,11
91,819,76,"2018-09-15 21:21:09",6,22,29
92,822,77,"2018-09-15 21:21:09",5,49,15
93,823,78,"2018-09-15 21:21:09",8,12,23
94,825,79,"2018-09-15 21:21:09",42,41,3
95,826,80,"2018-09-15 21:21:09",11,14,35
96,827,81,"2018-09-15 21:21:09",50,24,19
97,828,82,"2018-09-15 21:21:09",29,40,27
98,829,83,"2018-09-15 21:21:09",5,42,10
99,830,84,"2018-09-15 21:21:09",22,4,13
100,787,85,"2018-09-15 21:21:09",14,31,12
101,788,86,"2018-09-15 21:21:09",48,3,41
102,789,87,"2018-09-15 21:21:09",40,25,30
103,790,88,"2018-09-15 21:21:09",5,2,18
104,791,89,"2018-09-15 21:21:09",37,34,14
105,792,90,"2018-09-15 21:21:09",43,45,47
106,794,91,"2018-09-15 21:21:09",27,36,41
107,795,92,"2018-09-15 21:21:09",16,36,45
108,796,93,"2018-09-15 21:21:09",50,9,5
109,797,94,"2018-09-15 21:21:09",25,46,36
110,798,94,"2018-09-15 21:21:09",39,32,16
111,799,95,"2018-09-15 21:21:09",4,23,13
112,801,96,"2018-09-15 21:21:09",50,11,24
113,802,97,"2018-09-15 21:21:09",18,33,30
114,804,98,"2018-09-15 21:21:09",25,32,4
115,806,99,"2018-09-15 21:21:09",22,35,10
116,805,100,"2018-09-15 21:21:09",32,45,4
117,808,101,"2018-09-15 21:21:09",12,1,12
118,810,102,"2018-09-15 21:21:09",25,3,27
119,811,103,"2018-09-15 21:21:09",14,32,36
120,816,104,"2018-09-15 21:21:09",10,42,22
121,809,104,"2018-09-15 21:21:09",18,24,36
122,812,105,"2018-09-15 21:21:09",24,14,36
123,818,106,"2018-09-15 21:21:09",27,8,41
124,819,107,"2018-09-15 21:21:09",41,10,33
125,796,107,"2018-09-15 21:21:09",10,8,36
126,813,108,"2018-09-15 21:21:09",22,15,22
127,814,108,"2018-09-15 21:21:09",18,46,40
128,806,109,"2018-09-15 21:21:09",31,36,7
129,815,110,"2018-09-15 21:21:09",11,21,3
130,820,111,"2018-09-15 21:21:09",39,7,18
131,821,111,"2018-09-15 21:21:09",47,27,41
132,822,112,"2018-09-15 21:21:09",11,41,14
133,823,113,"2018-09-15 21:21:09",37,6,40
134,825,114,"2018-09-15 21:21:09",27,48,43
135,826,115,"2018-09-15 21:21:09",45,10,1
136,827,116,"2018-09-15 21:21:09",13,27,11
137,828,117,"2018-09-15 21:21:09",25,30,40
138,829,118,"2018-09-15 21:21:09",24,14,20
139,830,119,"2018-09-15 21:21:09",37,0,21
140,787,120,"2018-09-15 21:21:09",25,14,15
141,788,121,"2018-09-15 21:21:09",6,28,14
142,809,122,"2018-09-15 21:21:09",40,31,11
143,789,123,"2018-09-15 21:21:09",4,7,49
144,790,124,"2018-09-15 21:21:09",14,26,48
145,791,125,"2018-09-15 21:21:09",1,41,14
146,792,126,"2018-09-15 21:21:09",34,19,27
147,794,127,"2018-09-15 21:21:09",30,40,38
148,795,128,"2018-09-15 21:21:09",42,22,37
149,816,129,"2018-09-15 21:21:09",22,14,33
150,797,130,"2018-09-15 21:21:09",47,28,47
151,798,131,"2018-09-15 21:21:09",25,40,41
152,818,132,"2018-09-15 21:21:09",37,20,48
153,819,132,"2018-09-15 21:21:09",15,5,11
154,799,133,"2018-09-15 21:21:09",1,46,8
155,801,134,"2018-09-15 21:21:09",33,49,24
156,802,135,"2018-09-15 21:21:09",9,12,42
157,804,136,"2018-09-15 21:21:09",5,19,40
158,805,136,"2018-09-15 21:21:09",26,11,5
159,808,137,"2018-09-15 21:21:09",33,44,45
160,810,138,"2018-09-15 21:21:09",31,6,4
161,796,139,"2018-09-15 21:21:09",44,50,20
162,806,139,"2018-09-15 21:21:09",36,33,14
163,811,140,"2018-09-15 21:21:09",10,24,17
164,812,141,"2018-09-15 21:21:09",36,26,6
165,813,142,"2018-09-15 21:21:09",49,32,40
166,809,143,"2018-09-15 21:21:09",38,41,9
167,814,144,"2018-09-15 21:21:09",43,29,45
168,815,145,"2018-09-15 21:21:09",47,18,41
169,820,146,"2018-09-15 21:21:09",47,13,35
170,816,147,"2018-09-15 21:21:09",49,48,41
171,818,148,"2018-09-15 21:21:09",39,44,46
172,821,149,"2018-09-15 21:21:09",18,36,3
173,822,150,"2018-09-15 21:21:09",37,44,11
174,823,151,"2018-09-15 21:21:09",46,25,20
175,825,152,"2018-09-15 21:21:09",6,48,36
176,826,153,"2018-09-15 21:21:09",15,16,33
177,827,154,"2018-09-15 21:21:09",50,49,6
178,819,155,"2018-09-15 21:21:09",29,30,6
179,796,155,"2018-09-15 21:21:09",13,5,23
180,828,156,"2018-09-15 21:21:09",24,49,16
181,809,157,"2018-09-15 21:21:09",42,47,4
182,806,157,"2018-09-15 21:21:09",46,48,50
183,829,158,"2018-09-15 21:21:09",50,41,47
184,830,159,"2018-09-15 21:21:09",34,47,12
185,787,160,"2018-09-15 21:21:09",41,42,27
186,788,161,"2018-09-15 21:21:09",22,39,38
187,789,162,"2018-09-15 21:21:09",31,21,22
188,816,163,"2018-09-15 21:21:09",21,29,36
189,818,164,"2018-09-15 21:21:09",7,8,1
190,819,164,"2018-09-15 21:21:09",45,24,12
191,790,165,"2018-09-15 21:21:09",20,11,21
192,791,166,"2018-09-15 21:21:09",14,26,39
193,796,167,"2018-09-15 21:21:09",6,30,15
194,809,168,"2018-09-15 21:21:09",23,44,17
195,806,168,"2018-09-15 21:21:09",18,19,18
196,792,169,"2018-09-15 21:21:09",10,34,40
197,794,169,"2018-09-15 21:21:09",38,43,5
198,795,170,"2018-09-15 21:21:09",39,49,40
199,797,171,"2018-09-15 21:21:09",38,36,47
200,798,172,"2018-09-15 21:21:09",5,2,13
201,816,173,"2018-09-15 21:21:09",49,3,12
202,818,173,"2018-09-15 21:21:09",20,35,12
203,799,174,"2018-09-15 21:21:09",3,6,31
204,801,175,"2018-09-15 21:21:09",32,4,31
205,819,176,"2018-09-15 21:21:09",6,48,47
206,802,177,"2018-09-15 21:21:09",43,18,6
207,804,178,"2018-09-15 21:21:09",2,17,3
208,796,179,"2018-09-15 21:21:09",10,29,4
209,806,179,"2018-09-15 21:21:09",27,22,34
210,816,180,"2018-09-15 21:21:09",4,13,7
211,809,180,"2018-09-15 21:21:09",45,48,32
212,805,181,"2018-09-15 21:21:09",8,6,48
213,818,182,"2018-09-15 21:21:09",42,50,2
214,808,183,"2018-09-15 21:21:09",27,14,4
215,810,184,"2018-09-15 21:21:09",7,10,47
216,819,185,"2018-09-15 21:21:09",7,26,28
217,811,186,"2018-09-15 21:21:09",36,11,27
218,796,187,"2018-09-15 21:21:09",7,26,1
219,806,187,"2018-09-15 21:21:09",43,47,29
220,809,188,"2018-09-15 21:21:09",48,29,43
221,812,189,"2018-09-15 21:21:09",27,7,28
222,813,190,"2018-09-15 21:21:09",35,16,41
223,814,191,"2018-09-15 21:21:09",2,28,47
224,815,192,"2018-09-15 21:21:09",15,9,37
225,816,193,"2018-09-15 21:21:09",15,34,18
226,820,194,"2018-09-15 21:21:09",5,3,1
227,818,195,"2018-09-15 21:21:09",7,36,23
228,819,195,"2018-09-15 21:21:09",15,28,30
229,821,196,"2018-09-15 21:21:09",45,17,22
230,822,197,"2018-09-15 21:21:09",2,35,40
231,823,198,"2018-09-15 21:21:09",46,37,16
232,825,199,"2018-09-15 21:21:09",36,35,17
233,826,200,"2018-09-15 21:21:09",23,16,32
234,796,201,"2018-09-15 21:21:09",16,13,20
235,827,202,"2018-09-15 21:21:09",13,24,19
236,1542,203,"2018-09-15 21:21:09",5,15,48
237,1541,204,"2018-09-15 21:21:09",11,38,37
238,1542,205,"2018-09-15 21:21:09",46,38,4
239,1541,206,"2018-09-15 21:21:09",21,41,15
240,1806,207,"2018-09-15 21:21:09",29,43,28
241,1806,208,"2018-09-15 21:21:09",4,30,13
242,217,209,"2018-09-15 21:21:09",30,35,15
243,222,209,"2018-09-15 21:21:09",16,20,25
244,229,210,"2018-09-15 21:21:09",26,41,1
245,223,210,"2018-09-15 21:21:09",13,4,47
246,238,211,"2018-09-15 21:21:09",2,4,49
247,254,212,"2018-09-15 21:21:09",33,13,14
248,255,212,"2018-09-15 21:21:09",6,23,10
249,258,213,"2018-09-15 21:21:09",29,6,8
250,284,213,"2018-09-15 21:21:09",33,4,10
251,796,214,"2018-09-15 21:21:09",17,49,25
252,806,214,"2018-09-15 21:21:09",29,4,0
253,809,215,"2018-09-15 21:21:09",11,27,39
254,816,216,"2018-09-15 21:21:09",12,12,40
255,811,217,"2018-09-15 21:21:09",28,40,2
256,818,218,"2018-09-15 21:21:09",43,49,31
257,819,218,"2018-09-15 21:21:09",7,16,37
258,1437,219,"2018-09-15 21:21:09",26,44,13
259,1569,220,"2018-09-15 21:21:09",44,26,12
260,1633,220,"2018-09-15 21:21:09",32,25,42
261,1666,221,"2018-09-15 21:21:09",26,20,19
262,812,222,"2018-09-15 21:21:09",39,25,23
263,813,223,"2018-09-15 21:21:09",50,8,21
264,1667,224,"2018-09-15 21:21:09",27,36,17
265,1717,224,"2018-09-15 21:21:09",49,1,48
266,1724,225,"2018-09-15 21:21:09",50,50,21
267,1749,226,"2018-09-15 21:21:09",22,7,2
268,1725,226,"2018-09-15 21:21:09",29,5,45
269,1823,227,"2018-09-15 21:21:09",28,27,22
270,1954,228,"2018-09-15 21:21:09",42,35,20
271,1915,228,"2018-09-15 21:21:09",44,36,8
272,814,229,"2018-09-15 21:21:09",21,21,33
273,1995,230,"2018-09-15 21:21:09",41,7,44
274,2002,231,"2018-09-15 21:21:09",38,43,43
275,2075,231,"2018-09-15 21:21:09",47,17,9
276,217,232,"2018-09-15 21:21:09",48,48,26
277,222,232,"2018-09-15 21:21:09",40,37,42
278,1343,233,"2018-09-15 21:21:09",30,24,21
279,223,234,"2018-09-15 21:21:09",45,8,10
280,229,235,"2018-09-15 21:21:09",33,48,22
281,238,236,"2018-09-15 21:21:09",17,13,32
282,254,237,"2018-09-15 21:21:09",49,26,16
283,255,237,"2018-09-15 21:21:09",12,29,48
284,815,238,"2018-09-15 21:21:09",18,43,25
285,258,239,"2018-09-15 21:21:09",29,5,24
286,284,239,"2018-09-15 21:21:09",44,25,21
287,796,240,"2018-09-15 21:21:09",15,32,10
288,806,241,"2018-09-15 21:21:09",27,7,23
289,809,242,"2018-09-15 21:21:09",41,5,34
290,816,243,"2018-09-15 21:21:09",10,7,34
291,818,244,"2018-09-15 21:21:09",34,23,32
292,819,244,"2018-09-15 21:21:09",48,43,32
293,1569,245,"2018-09-15 21:21:09",35,42,34
294,1437,245,"2018-09-15 21:21:09",1,41,17
295,1633,246,"2018-09-15 21:21:09",4,13,20
296,1666,246,"2018-09-15 21:21:09",2,30,5
297,1667,247,"2018-09-15 21:21:09",1,1,30
298,1717,247,"2018-09-15 21:21:09",8,30,43
299,1724,248,"2018-09-15 21:21:09",34,31,43
300,1725,249,"2018-09-15 21:21:09",10,26,12
301,1749,250,"2018-09-15 21:21:09",49,10,50
302,1915,251,"2018-09-15 21:21:09",27,24,14
303,1823,251,"2018-09-15 21:21:09",12,43,31
304,1954,252,"2018-09-15 21:21:09",34,50,7
305,1995,253,"2018-09-15 21:21:09",30,29,48
306,820,254,"2018-09-15 21:21:09",49,36,18
307,821,255,"2018-09-15 21:21:09",43,17,6
308,2002,256,"2018-09-15 21:21:09",8,19,2
309,217,257,"2018-09-15 21:21:09",43,7,18
310,2075,257,"2018-09-15 21:21:09",38,34,48
311,822,258,"2018-09-15 21:21:09",29,28,17
312,222,259,"2018-09-15 21:21:09",22,17,14
313,223,259,"2018-09-15 21:21:09",1,20,24
314,229,260,"2018-09-15 21:21:09",39,40,5
315,238,260,"2018-09-15 21:21:09",48,6,24
316,1773,261,"2018-09-15 21:21:09",0,12,25
317,1773,262,"2018-09-15 21:21:09",33,39,13
318,1773,263,"2018-09-15 21:21:09",49,24,10
319,1773,264,"2018-09-15 21:21:09",37,35,25
320,1773,265,"2018-09-15 21:21:09",50,11,19
321,1773,266,"2018-09-15 21:21:09",4,6,17
322,1773,267,"2018-09-15 21:21:09",13,8,34
323,1773,268,"2018-09-15 21:21:09",3,46,33
324,1773,269,"2018-09-15 21:21:09",13,46,12
325,1706,270,"2018-09-15 21:21:09",47,9,46
326,1706,271,"2018-09-15 21:21:09",7,29,14
327,1706,272,"2018-09-15 21:21:09",4,3,36
328,1706,273,"2018-09-15 21:21:09",41,0,10
329,982,274,"2018-09-15 21:21:09",35,36,49
330,982,275,"2018-09-15 21:21:09",1,41,2
331,284,276,"2018-09-15 21:21:09",43,7,42
332,796,277,"2018-09-15 21:21:09",14,35,9
333,806,278,"2018-09-15 21:21:09",11,48,43
334,809,279,"2018-09-15 21:21:09",45,28,7
335,816,280,"2018-09-15 21:21:09",33,37,35
336,818,281,"2018-09-15 21:21:09",20,34,26
337,819,282,"2018-09-15 21:21:09",8,9,28
338,1437,283,"2018-09-15 21:21:09",40,37,35
339,1773,284,"2018-09-15 21:21:09",35,48,23
340,1787,285,"2018-09-15 21:21:09",35,29,14
341,1942,286,"2018-09-15 21:21:09",32,32,23
342,1992,287,"2018-09-15 21:21:09",43,40,19
343,834,288,"2018-09-15 21:21:09",37,4,15
344,1787,288,"2018-09-15 21:21:09",33,12,3
345,1942,289,"2018-09-15 21:21:09",14,3,5
346,1992,290,"2018-09-15 21:21:09",1,27,46
347,834,290,"2018-09-15 21:21:09",46,17,36
348,1787,291,"2018-09-15 21:21:09",23,21,42
349,1942,292,"2018-09-15 21:21:09",43,7,0
350,1992,293,"2018-09-15 21:21:09",22,12,9
351,834,293,"2018-09-15 21:21:09",35,36,29
352,1787,294,"2018-09-15 21:21:09",18,25,30
353,1992,295,"2018-09-15 21:21:09",43,11,45
354,1942,295,"2018-09-15 21:21:09",24,6,21
355,834,296,"2018-09-15 21:21:09",39,36,41
356,1787,297,"2018-09-15 21:21:09",39,24,28
357,1942,298,"2018-09-15 21:21:09",32,13,32
358,1992,299,"2018-09-15 21:21:09",8,20,14
359,834,300,"2018-09-15 21:21:09",48,2,49
360,1787,301,"2018-09-15 21:21:09",48,37,14
361,1942,302,"2018-09-15 21:21:09",22,47,37
362,1992,303,"2018-09-15 21:21:09",41,50,19
363,834,303,"2018-09-15 21:21:09",2,5,37
364,1787,304,"2018-09-15 21:21:09",10,18,46
365,1942,304,"2018-09-15 21:21:09",37,7,17
366,1992,305,"2018-09-15 21:21:09",45,25,29
367,834,305,"2018-09-15 21:21:09",37,37,1
368,1787,306,"2018-09-15 21:21:09",22,15,32
369,1942,306,"2018-09-15 21:21:09",50,39,11
370,1992,307,"2018-09-15 21:21:09",44,24,27
371,834,308,"2018-09-15 21:21:09",48,9,11
372,1787,308,"2018-09-15 21:21:09",21,34,21
373,1992,309,"2018-09-15 21:21:09",1,35,22
374,1942,309,"2018-09-15 21:21:09",28,28,50
375,834,310,"2018-09-15 21:21:09",46,43,15
376,1787,310,"2018-09-15 21:21:09",39,39,47
377,1942,311,"2018-09-15 21:21:09",38,26,1
378,1992,312,"2018-09-15 21:21:09",43,9,4
379,834,313,"2018-09-15 21:21:09",9,36,6
380,1787,314,"2018-09-15 21:21:09",15,41,0
381,1942,314,"2018-09-15 21:21:09",6,22,24
382,1992,315,"2018-09-15 21:21:09",5,25,36
383,834,316,"2018-09-15 21:21:09",37,23,28
384,1787,317,"2018-09-15 21:21:09",15,9,19
385,1992,318,"2018-09-15 21:21:09",6,17,31
386,1942,318,"2018-09-15 21:21:09",1,11,49
387,834,319,"2018-09-15 21:21:09",32,25,39
388,1787,319,"2018-09-15 21:21:09",44,10,35
389,1992,320,"2018-09-15 21:21:09",41,10,41
390,1942,320,"2018-09-15 21:21:09",22,27,37
391,834,321,"2018-09-15 21:21:09",17,31,50
392,1787,321,"2018-09-15 21:21:09",14,48,26
393,1992,322,"2018-09-15 21:21:09",11,0,41
394,1942,322,"2018-09-15 21:21:09",27,25,19
395,834,323,"2018-09-15 21:21:09",5,50,42
396,1787,324,"2018-09-15 21:21:09",43,10,27
397,1942,325,"2018-09-15 21:21:09",30,21,34
398,1992,326,"2018-09-15 21:21:09",24,48,46
399,834,327,"2018-09-15 21:21:09",19,39,44
400,1787,328,"2018-09-15 21:21:09",7,29,15
401,1942,329,"2018-09-15 21:21:09",24,34,17
402,1992,330,"2018-09-15 21:21:09",34,32,22
403,834,331,"2018-09-15 21:21:09",13,3,0
404,1787,331,"2018-09-15 21:21:09",50,21,25
405,1942,332,"2018-09-15 21:21:09",48,50,48
406,1992,333,"2018-09-15 21:21:09",50,20,12
407,834,334,"2018-09-15 21:21:09",41,41,5
408,1787,334,"2018-09-15 21:21:09",24,38,39
409,1942,335,"2018-09-15 21:21:09",14,27,9
410,1992,336,"2018-09-15 21:21:09",38,36,41
411,834,336,"2018-09-15 21:21:09",1,20,35
412,1787,337,"2018-09-15 21:21:09",49,41,25
413,1942,338,"2018-09-15 21:21:09",7,17,27
414,1992,339,"2018-09-15 21:21:09",36,25,37
415,834,340,"2018-09-15 21:21:09",0,40,38
416,1787,341,"2018-09-15 21:21:09",2,47,20
417,1992,342,"2018-09-15 21:21:09",14,46,46
418,1942,342,"2018-09-15 21:21:09",46,8,42
419,834,343,"2018-09-15 21:21:09",1,37,1
420,1787,343,"2018-09-15 21:21:09",34,14,24
421,1942,344,"2018-09-15 21:21:09",7,18,50
422,1992,345,"2018-09-15 21:21:09",11,27,42
423,834,346,"2018-09-15 21:21:09",28,9,39
424,1787,346,"2018-09-15 21:21:09",39,31,25
425,816,347,"2018-09-15 21:21:09",24,41,28
426,818,348,"2018-09-15 21:21:09",2,15,12
427,819,349,"2018-09-15 21:21:09",42,44,35
428,1717,350,"2018-09-15 21:21:09",17,46,50
429,1737,351,"2018-09-15 21:21:09",34,17,48
430,1763,351,"2018-09-15 21:21:09",42,30,37
431,1806,352,"2018-09-15 21:21:09",38,16,26
432,284,353,"2018-09-15 21:21:09",24,40,27
433,796,354,"2018-09-15 21:21:09",24,37,38
434,806,355,"2018-09-15 21:21:09",42,42,22
435,809,356,"2018-09-15 21:21:09",46,38,17
436,816,357,"2018-09-15 21:21:09",44,35,1
437,818,357,"2018-09-15 21:21:09",17,31,16
438,819,358,"2018-09-15 21:21:09",26,2,31
439,1717,359,"2018-09-15 21:21:09",12,26,41
440,1737,360,"2018-09-15 21:21:09",14,27,21
441,1763,361,"2018-09-15 21:21:09",26,24,25
442,1806,362,"2018-09-15 21:21:09",17,37,50
443,284,363,"2018-09-15 21:21:09",48,4,35
444,796,364,"2018-09-15 21:21:09",6,34,43
445,806,365,"2018-09-15 21:21:09",46,34,49
446,809,366,"2018-09-15 21:21:09",36,45,44
447,816,367,"2018-09-15 21:21:09",35,1,44
448,818,368,"2018-09-15 21:21:09",2,22,24
449,809,369,"2018-09-15 21:21:09",46,48,44
450,816,370,"2018-09-15 21:21:09",13,17,41
451,818,371,"2018-09-15 21:21:09",40,17,50
452,819,372,"2018-09-15 21:21:09",32,13,34
453,796,373,"2018-09-15 21:21:09",43,18,3
454,806,374,"2018-09-15 21:21:09",13,28,11
455,798,375,"2018-09-15 21:21:09",10,46,46
456,799,376,"2018-09-15 21:21:09",3,23,23
457,801,377,"2018-09-15 21:21:09",34,28,28
458,802,378,"2018-09-15 21:21:09",8,5,40
459,804,379,"2018-09-15 21:21:09",42,27,0
460,805,380,"2018-09-15 21:21:09",20,3,0
461,808,381,"2018-09-15 21:21:09",13,17,20
462,810,382,"2018-09-15 21:21:09",46,41,34
463,811,383,"2018-09-15 21:21:09",12,15,43
464,812,384,"2018-09-15 21:21:09",7,48,4
465,813,385,"2018-09-15 21:21:09",5,11,44
466,814,386,"2018-09-15 21:21:09",6,39,17
467,815,387,"2018-09-15 21:21:09",6,49,19
468,820,388,"2018-09-15 21:21:09",14,7,17
469,821,389,"2018-09-15 21:21:09",21,50,21
470,822,390,"2018-09-15 21:21:09",10,43,46
471,819,391,"2018-09-15 21:21:09",31,20,43
472,796,392,"2018-09-15 21:21:09",33,21,13
473,806,393,"2018-09-15 21:21:09",37,5,45
474,809,394,"2018-09-15 21:21:09",41,8,42
475,816,395,"2018-09-15 21:21:09",44,12,0
476,1787,396,"2018-09-15 21:21:09",12,13,35
477,1787,397,"2018-09-15 21:21:09",31,8,10
478,1994,398,"2018-09-15 21:21:09",6,22,22
479,982,399,"2018-09-15 21:21:09",50,50,18
480,982,400,"2018-09-15 21:21:09",27,5,31
481,982,401,"2018-09-15 21:21:09",8,31,24
482,1671,402,"2018-09-15 21:21:09",45,8,9
483,1812,403,"2018-09-15 21:21:09",21,23,43
484,1343,404,"2018-09-15 21:21:09",0,29,36
485,1812,405,"2018-09-15 21:21:09",28,7,16
486,812,406,"2018-09-15 21:21:09",44,38,7
487,1343,407,"2018-09-15 21:21:09",40,6,20
488,1812,408,"2018-09-15 21:21:09",25,37,48
489,1343,409,"2018-09-15 21:21:09",11,35,48
490,813,410,"2018-09-15 21:21:09",34,20,6
491,1812,411,"2018-09-15 21:21:09",29,44,35
492,1343,412,"2018-09-15 21:21:09",35,11,6
493,814,413,"2018-09-15 21:21:09",23,11,12
494,1616,414,"2018-09-15 21:21:09",7,47,24
495,1616,415,"2018-09-15 21:21:09",11,48,3
496,1849,416,"2018-09-15 21:21:09",2,42,32
497,1343,417,"2018-09-15 21:21:09",46,42,44
498,1343,418,"2018-09-15 21:21:09",7,0,20
499,1806,419,"2018-09-15 21:21:09",41,38,47
500,1806,420,"2018-09-15 21:21:09",50,19,38
501,1806,421,"2018-09-15 21:21:09",11,30,32
502,1806,422,"2018-09-15 21:21:09",10,43,22
503,1806,423,"2018-09-15 21:21:09",37,16,36
504,1806,424,"2018-09-15 21:21:09",12,4,41
505,1806,425,"2018-09-15 21:21:09",35,47,31
506,1806,426,"2018-09-15 21:21:09",8,32,40
507,1806,427,"2018-09-15 21:21:09",49,7,33
508,1806,428,"2018-09-15 21:21:09",13,13,23
509,1806,429,"2018-09-15 21:21:09",47,25,19
510,1806,430,"2018-09-15 21:21:09",38,18,12
511,1806,431,"2018-09-15 21:21:09",9,43,8
512,1806,432,"2018-09-15 21:21:09",42,8,38
513,1806,433,"2018-09-15 21:21:09",47,23,11
514,1806,434,"2018-09-15 21:21:09",28,30,32
515,1806,435,"2018-09-15 21:21:09",47,39,48
516,1806,436,"2018-09-15 21:21:09",14,38,10
517,1806,437,"2018-09-15 21:21:09",29,15,22
518,1806,438,"2018-09-15 21:21:09",10,26,2
519,1806,439,"2018-09-15 21:21:09",26,18,3
520,1806,440,"2018-09-15 21:21:09",28,42,37
521,1806,441,"2018-09-15 21:21:09",39,44,10
522,1806,442,"2018-09-15 21:21:09",24,41,20
523,1806,443,"2018-09-15 21:21:09",26,7,2
524,1806,444,"2018-09-15 21:21:09",36,19,31
525,1806,445,"2018-09-15 21:21:09",39,10,38
526,1806,446,"2018-09-15 21:21:09",34,22,46
527,1806,447,"2018-09-15 21:21:09",30,7,8
528,1806,448,"2018-09-15 21:21:09",17,46,23
